,Unnamed: 0,Product,RAM,ROM,Display,Back_camera,Processor,Battery
92,293,"POCO X2 (Atlantis Blue, 256 GB)",8,256,16.94,64,730,4500
93,303,"Redmi K20 Pro (Carbon Black, 128 GB)",6,128,16.23,48,855,4000
94,312,"Realme X2 Pro (Concrete, 256 GB)",12,256,16.51,64,855,4000
95,313,"Vivo Z1Pro (Sonic Black, 128 GB)",6,128,16.59,16,712,5000
96,318,"Vivo Y20i (Dawn White, 64 GB)",3,64,16.54,13,460,5000
97,320,"Realme X3 SuperZoom (Glacier Blue, 256 GB)",12,256,16.69,64,855,4200
98,329,"Redmi 8 (Emerald Green, 64 GB)",4,64,15.8,12,439,5000
99,330,"POCO X3 (Shadow Gray, 64 GB)",6,64,16.94,64,732,6000
100,334,"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4,128,16.94,48,720,5020
101,339,"Vivo V19 (Piano Black, 256 GB)",8,256,16.36,48,712,4500
102,348,"Redmi K20 (Carbon Black, 64 GB)",6,64,16.23,48,730,4000
103,357,"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)",6,128,16.94,64,720,5020
104,360,"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)",6,128,16.94,64,720,5020
105,372,"Realme X3 SuperZoom (Arctic White, 128 GB)",8,128,16.69,64,855,4200
106,378,"Realme X (Polar White, 128 GB)",4,128,16.59,48,710,3765
107,379,"Realme X (Space Blue, 128 GB)",4,128,16.59,48,710,3765
108,380,"Redmi 8A Dual (Sea Blue, 64 GB)",3,64,15.8,13,439,5000
109,381,"Redmi 8A Dual (Midnight Grey, 64 GB)",3,64,15.8,13,439,5000
110,383,"Redmi 8A Dual (Midnight Grey, 32 GB)",3,32,15.8,13,439,5000
111,385,"Vivo Z1x (Fusion Blue, 128 GB)",6,128,16.21,48,712,4500
112,386,"Vivo Z1x (Phantom Purple, 128 GB)",6,128,16.21,48,712,4500
113,387,"Vivo Z1x (Fusion Blue, 64 GB)",6,64,16.21,48,712,4500
114,397,"Realme X3 SuperZoom (Glacier Blue, 128 GB)",8,128,16.69,64,855,4200
115,403,"iQOO 3 (Tornado Black, 128 GB)",8,128,16.36,48,865,4440
116,426,"Vivo V19 (Mystic Silver, 128 GB)",8,128,16.36,48,712,4500
